No.	PosX	PosY	PosZ	FrontX	FrontY	FrontZ	LeftX	LeftY	LeftZ	UpX	UpY	UpZ
1	0.000000	-1.100000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2	0.095871	-1.095814	0.250000	0.000000	0.000000	1.000000	0.996195	0.087156	-0.000000	-0.087156	0.996195	0.000000
3	0.191013	-1.083289	0.500000	0.000000	0.000000	1.000000	0.984808	0.173648	-0.000000	-0.173648	0.984808	0.000000
4	0.284701	-1.062518	0.750000	0.000000	0.000000	1.000000	0.965926	0.258819	-0.000000	-0.258819	0.965926	0.000000
5	0.376222	-1.033662	1.000000	0.000000	0.000000	1.000000	0.939693	0.342020	-0.000000	-0.342020	0.939693	0.000000
6	0.464880	-0.996939	1.250000	0.000000	0.000000	1.000000	0.906308	0.422618	-0.000000	-0.422618	0.906308	0.000000
7	0.550000	-0.952628	1.500000	0.000000	0.000000	1.000000	0.866025	0.500000	-0.000000	-0.500000	0.866025	0.000000
8	0.630934	-0.901067	1.750000	0.000000	0.000000	1.000000	0.819152	0.573576	-0.000000	-0.573576	0.819152	0.000000
9	0.707066	-0.842649	2.000000	0.000000	0.000000	1.000000	0.766044	0.642788	-0.000000	-0.642788	0.766044	0.000000
10	0.777817	-0.777817	2.250000	0.000000	0.000000	1.000000	0.707107	0.707107	-0.000000	-0.707107	0.707107	0.000000
11	0.842649	-0.707066	2.500000	0.000000	0.000000	1.000000	0.642788	0.766044	-0.000000	-0.766044	0.642788	0.000000
12	0.901067	-0.630934	2.750000	0.000000	0.000000	1.000000	0.573576	0.819152	-0.000000	-0.819152	0.573576	0.000000
13	0.952628	-0.550000	3.000000	0.000000	0.000000	1.000000	0.500000	0.866025	-0.000000	-0.866025	0.500000	0.000000
14	0.996939	-0.464880	3.250000	0.000000	0.000000	1.000000	0.422618	0.906308	-0.000000	-0.906308	0.422618	0.000000
15	1.033662	-0.376222	3.500000	0.000000	0.000000	1.000000	0.342020	0.939693	-0.000000	-0.939693	0.342020	0.000000
16	1.062518	-0.284701	3.750000	0.000000	0.000000	1.000000	0.258819	0.965926	-0.000000	-0.965926	0.258819	0.000000
17	1.083289	-0.191013	4.000000	0.000000	0.000000	1.000000	0.173648	0.984808	-0.000000	-0.984808	0.173648	0.000000
18	1.095814	-0.095871	4.250000	0.000000	0.000000	1.000000	0.087156	0.996195	-0.000000	-0.996195	0.087156	0.000000
19	1.100000	-0.000000	4.500000	0.000000	0.000000	1.000000	0.000000	1.000000	-0.000000	-1.000000	0.000000	0.000000
20	1.095814	0.095871	4.750000	0.000000	0.000000	1.000000	-0.087156	0.996195	0.000000	-0.996195	-0.087156	0.000000
21	1.083289	0.191013	5.000000	0.000000	0.000000	1.000000	-0.173648	0.984808	0.000000	-0.984808	-0.173648	0.000000
22	1.062518	0.284701	5.250000	0.000000	0.000000	1.000000	-0.258819	0.965926	0.000000	-0.965926	-0.258819	0.000000
23	1.033662	0.376222	5.500000	0.000000	0.000000	1.000000	-0.342020	0.939693	0.000000	-0.939693	-0.342020	0.000000
